Data,Energy
0,3578.86
0,3591.12
0,3603.41
0,3615.74
0,3628.11
0,3640.51
0,3652.95
0,3665.43
0,3677.94
0,3690.49
0,3703.08
0,3715.71
0,3728.37
0,3741.07
0,3753.81
0,3766.58
0,3779.4
0,3792.25
0,3805.14
0,3818.07
0,3831.03
0,3844.04
0,3857.08
0,3870.16
0,3883.28
0,3896.44
0,3909.64
0,3922.87
0,3936.15
0,3949.46
0,3962.81
0,3976.2
0,3989.63
0,4003.1
0,4016.61
1,4030.16
1,4043.74
0,4057.37
0,4071.04
0,4084.74
0,4098.49
0,4112.28
0,4126.1
0,4139.97
0,4153.87
0,4167.82
0,4181.81
0,4195.83
0,4209.9
0,4224.01
0,4238.16
0,4252.35
0,4266.58
0,4280.85
0,4295.16
0,4309.51
0,4323.91
0,4338.34
0,4352.82
0,4367.34
0,4381.9
0,4396.5
0,4411.14
0,4425.82
0,4440.55
0,4455.32
0,4470.13
0,4484.98
0,4499.87
1,4514.81
2,4529.79
0,4544.81
0,4559.87
0,4574.98
0,4590.13
0,4605.32
0,4620.55
0,4635.83
0,4651.15
0,4666.52
0,4681.92
0,4697.37
0,4712.86
0,4728.4
0,4743.98
0,4759.6
0,4775.27
0,4790.98
0,4806.73
0,4822.53
0,4838.38
0,4854.26
0,4870.19
0,4886.17
0,4902.19
0,4918.25
0,4934.36
0,4950.51
0,4966.71
0,4982.95
0,4999.23
0,5015.56
0,5031.94
0,5048.36
0,5064.83
0,5081.34
0,5097.9
0,5114.5
0,5131.15
0,5147.84
0,5164.58
0,5181.37
0,5198.2
0,5215.07
0,5232
0,5248.96
0,5265.98
0,5283.04
0,5300.15
0,5317.3
0,5334.5
0,5351.75
0,5369.04
0,5386.38
0,5403.77
0,5421.2
0,5438.68
0,5456.21
0,5473.78
0,5491.4
0,5509.07
0,5526.79
0,5544.56
0,5562.37
0,5580.23
0,5598.13
0,5616.09
0,5634.09
0,5652.14
0,5670.24
0,5688.39
0,5706.58
0,5724.83
0,5743.12
0,5761.46
0,5779.85
0,5798.28
0,5816.77
0,5835.31
0,5853.89
0,5872.52
0,5891.2
1,5909.94
1,5928.72
0,5947.55
0,5966.42
0,5985.35
0,6004.33
0,6023.36
0,6042.44
0,6061.56
0,6080.74
0,6099.97
0,6119.24
0,6138.57
0,6157.95
0,6177.38
0,6196.85
0,6216.38
0,6235.96
1,6255.59
1,6275.27
0,6295.01
0,6314.79
0,6334.62
0,6354.5
0,6374.44
0,6394.43
0,6414.46
0,6434.55
0,6454.7
0,6474.89
0,6495.13
0,6515.43
0,6535.77
0,6556.17
0,6576.63
0,6597.13
0,6617.69
0,6638.29
0,6658.95
0,6679.67
0,6700.43
0,6721.25
0,6742.12
0,6763.04
0,6784.02
0,6805.05
0,6826.13
0,6847.26
0,6868.45
0,6889.69
0,6910.99
0,6932.33
0,6953.74
0,6975.19
0,6996.7
0,7018.26
0,7039.88
0,7061.55
1,7083.27
1,7105.05
1,7126.88
1,7148.77
0,7170.71
0,7192.7
0,7214.75
0,7236.86
0,7259.02
0,7281.23
0,7303.5
0,7325.82
0,7348.2
0,7370.63
0,7393.12
0,7415.66
0,7438.26
0,7460.92
0,7483.63
0,7506.39
0,7529.21
0,7552.09
0,7575.02
0,7598.01
0,7621.06
0,7644.16
0,7667.31
0,7690.53
0,7713.8
0,7737.12
0,7760.5
0,7783.94
0,7807.44
0,7830.99
0,7854.6
0,7878.26
0,7901.99
1,7925.77
0,7949.6
0,7973.5
0,7997.45
0,8021.46
0,8045.52
0,8069.65
0,8093.83
0,8118.07
0,8142.37
0,8166.72
0,8191.13
0,8215.6
0,8240.13
0,8264.72
0,8289.37
0,8314.07
0,8338.83
0,8363.66
0,8388.54
0,8413.47
0,8438.47
0,8463.53
0,8488.64
0,8513.82
1,8539.05
1,8564.34
0,8589.7
0,8615.11
0,8640.58
0,8666.11
0,8691.7
0,8717.35
0,8743.06
0,8768.83
0,8794.66
0,8820.55
0,8846.5
0,8872.51
0,8898.58
0,8924.71
0,8950.9
0,8977.15
0,9003.46
0,9029.84
0,9056.27
0,9082.77
0,9109.32
0,9135.94
0,9162.62
0,9189.36
0,9216.16
0,9243.02
0,9269.94
0,9296.93
0,9323.97
0,9351.08
0,9378.25
0,9405.49
0,9432.78
0,9460.14
0,9487.56
0,9515.04
0,9542.58
0,9570.19
0,9597.85
0,9625.58
0,9653.38
0,9681.23
0,9709.15
0,9737.13
0,9765.18
0,9793.29
0,9821.46
0,9849.69
0,9877.99
0,9906.35
0,9934.77
0,9963.26
0,9991.81
0,10020.43
0,10049.11
0,10077.85
0,10106.66
0,10135.53
0,10164.46
0,10193.46
0,10222.53
0,10251.65
0,10280.85
0,10310.11
0,10339.43
0,10368.81
0,10398.26
0,10427.78
0,10457.36
0,10487.01
0,10516.72
0,10546.5
0,10576.34
0,10606.25
0,10636.22
0,10666.26
0,10696.36
0,10726.54
0,10756.77
0,10787.07
0,10817.44
0,10847.87
0,10878.37
0,10908.94
0,10939.57
0,10970.27
0,11001.04
0,11031.87
0,11062.77
0,11093.73
0,11124.77
0,11155.86
0,11187.03
1,11218.26
1,11249.56
0,11280.93
0,11312.37
0,11343.87
0,11375.44
0,11407.08
0,11438.78
0,11470.55
0,11502.39
0,11534.3
0,11566.28
0,11598.33
0,11630.44
0,11662.62
0,11694.87
0,11727.19
0,11759.57
0,11792.03
0,11824.55
0,11857.14
0,11889.8
0,11922.54
0,11955.33
0,11988.2
0,12021.14
0,12054.15
0,12087.22
0,12120.37
1,12153.58
2,12186.87
0,12220.22
0,12253.64
0,12287.14
0,12320.7
0,12354.33
0,12388.04
0,12421.81
0,12455.66
0,12489.57
0,12523.56
0,12557.61
0,12591.74
0,12625.93
0,12660.2
0,12694.54
0,12728.95
0,12763.43
0,12797.98
0,12832.6
0,12867.29
0,12902.06
0,12936.9
0,12971.8
0,13006.78
0,13041.83
0,13076.96
0,13112.15
0,13147.42
0,13182.76
0,13218.17
0,13253.65
0,13289.21
0,13324.83
0,13360.53
0,13396.3
0,13432.15
0,13468.07
0,13504.06
0,13540.12
0,13576.25
0,13612.46
0,13648.75
0,13685.1
0,13721.53
0,13758.03
0,13794.61
0,13831.26
0,13867.98
0,13904.77
0,13941.64
0,13978.59
0,14015.6
0,14052.7
0,14089.86
0,14127.1
0,14164.41
0,14201.8
0,14239.27
0,14276.8
0,14314.41
0,14352.1
0,14389.86
0,14427.7
0,14465.61
0,14503.6
0,14541.66
0,14579.79
0,14618
